id,alpha_density,alpha_length
1000032,12.519630675304095,14.953932306992531
1000083,12.57822565205276,16.82639324915632
1000366,13.289594373731711,15.938907864719017
1000457,13.180354584483718,16.39686051732616
1000570,13.019562948728892,14.538175121468857
1000890,12.549299883291349,15.489209191482358
1000973,13.1883307027259,16.89922853238702
1001010,12.618380990483073,14.708934504382034
1001209,12.875705899937671,18.093409150241115
1001337,13.1457197364829,16.884508620837693
1002047,12.567217749630244,15.024712994791008
1002478,12.923732382310464,16.43902690628573
1002702,12.838796700271034,16.85939118195571
1002768,12.958513064184123,16.21286706945644
1002827,13.067092822501504,16.221354782382182
1002849,12.679208247156275,16.58001039308429
1003054,12.354413923198745,16.918444663290046
1003224,13.028932252816185,16.123963892695297
1003494,12.749409496751703,15.719180211963609
1003543,12.557978735707179,15.774610011461787
1003638,12.990659255848486,16.228566065363566
1004328,12.931236428393857,16.234548156001193
1004352,14.162611745467663,17.033262374554774
1004407,12.9637784996756,17.322500738111835
1005117,13.131157337410793,15.551634866561182
1005507,13.193971668067983,18.38236248441959
1005682,13.087222321643607,16.93928377322958
1005944,12.870209005044902,16.347498010858427
1006204,12.802838326735333,16.901216414014524
1006262,13.079534590247246,17.804398370936845
1006336,12.48287902762881,19.14846172778645
1006348,12.448552149522014,15.963737891474096
1006458,12.733092205006857,16.862900512894758
1006643,12.771252110460276,16.627829920604793
1006706,13.15232223863095,17.37058231873247
1006847,13.085765136608002,17.014705093002153
1006917,12.65902329687044,15.468547902382829
1007291,12.959441765582312,15.860076112702577
1007735,13.324425529643127,18.4375423760932
1008037,12.760320299897456,17.04324358420262
1008065,12.844783242440183,16.090184762489667
1008511,12.49965379744469,15.904763712958413
1008532,11.84761493094434,14.93011341506925
1008901,12.664002995123695,17.092284965693786
1009246,13.233534020090028,17.06467044157405
1009406,13.177342671972372,16.64838515775055
1009492,13.174646440872795,17.593105003601078
1009655,12.62516893042336,15.330384398892335
1009681,12.882311888157629,18.039679723720777
1010137,12.82033714921634,15.80395977751448
1010357,12.141090678828194,15.320586566748723
1010632,13.290220407105407,16.722892924848914
1010920,12.750614258100613,16.845509307026994
1011198,12.611688891785493,16.368771722623826
1011236,12.71971271737796,17.893819653959703
1011420,13.015661175612365,17.365196249165272
1011700,12.9948398148314,16.04449955946356
1011789,12.596555735241411,17.12765230275397
1012023,12.330726362712916,15.312028963319769
1012135,12.346286619250076,15.53423953243039
1012569,12.402450937762797,16.339419777977128
1012894,12.689129409048844,14.973417842945635
1013083,13.18076090402958,17.059975891453508
1013486,12.658044716710567,17.356041076173018
1013514,13.175672549857941,17.096807280145992
1013881,13.222045393969621,16.743610311155354
1014279,13.409687561500832,16.66693900051575
1014342,12.913956258358652,18.422181057047986
1014369,12.729249108747473,17.306178980492277
