id,alpha_density,alpha_length
CC00063AN06_15102,14.20395915199966,15.015863303757259
CC00063BN06_15104,14.313595092761593,13.048579126074925
CC00065XX08_18600,15.477828375542982,14.010983189780179
CC00066XX09_19200,15.112981635084601,14.11807207682133
CC00067XX10_20200,14.727528599085352,15.064075230204715
CC00068XX11_20701,16.222155385649756,14.531512228579215
CC00069XX12_26300,14.81982071512335,13.721352129442803
CC00070XX05_26700,14.956541575816651,13.364827742166506
CC00071XX06_27000,14.528387014067789,13.617806722583719
CC00072XX07_27600,13.466245487475089,12.708520862461006
CC00073XX08_27800,14.819519001615904,14.085968592064967
CC00074XX09_28000,13.695569386091117,12.94638460978691
CC00075XX10_28400,14.359023930624568,14.165251821297037
CC00076XX11_28700,13.830003945391669,13.478019015551213
CC00078XX13_29900,15.726029314646967,14.331141540316695
CC00079XX14_30000,15.155538033589009,13.531761421461868
CC00080XX07_30300,15.593391075987915,14.539978933201155
CC00082XX09_30700,15.768259825463046,13.443391781818775
CC00083XX10_30900,14.889593133718583,14.691808010981479
CC00084XX11_31201,13.98361501755717,12.832188682636309
CC00086XX13_31500,15.242584460350157,13.535704412609277
CC00087AN14_31800,14.313780443047124,13.5656342676805
CC00087AN14_38800,14.460597355265048,13.40747907619409
CC00087BN14_32100,15.367836417041834,14.613008379470038
CC00088XX15_31801,15.808199381324638,15.605570096647918
CC00089XX16_32101,14.683005721831393,12.195963491355876
CC00091XX10_32300,15.269648580932117,13.506278483774944
CC00094AN13_33500,15.721350029379765,14.642045918810092
CC00094BN13_33301,15.528041911613897,14.447548000358946
CC00095XX14_33501,16.037772653506003,13.915594233716522
CC00096XX15_33700,14.958279406398182,14.622702617291294
CC00097XX16_33701,15.0695017937251,13.681739773377531
CC00098AN17_30500,13.704192012733753,13.449171278829452
CC00098AN17_33702,15.610752122443552,15.4219614713902
CC00098BN17_33900,12.566143937716893,14.587764215072232
CC00099AN18_34200,13.710132742170968,14.380693074621108
CC00099BN18_34201,14.732598016553904,13.568800101015047
CC00100XX01_35000,14.268896365409677,13.024554005673396
CC00101XX02_35001,13.80550922577177,13.244488283490831
CC00102XX03_35200,15.212133586224203,14.731363691038368
CC00103XX04_35300,14.815649680751925,14.462468991901611
CC00104XX05_35800,15.355556485215098,14.711659133232944
CC00105XX06_35801,14.668871069896074,13.796028311174862
CC00106XX07_36100,14.187755093832516,13.759122696384658
CC00107XX08_36300,15.073476801224745,13.795364027206691
CC00108XX09_36800,15.42319858673957,14.21711708508322
CC00109XX10_36901,13.668164350794994,13.698127252960926
CC00110XX03_37000,14.927070054825743,14.778888465874942
CC00111XX04_37002,15.147963791540839,13.288366355464408
CC00112XX05_37001,14.882110565957177,15.05984666481615
CC00113XX06_37200,14.409791075186034,14.812375126659411
CC00114XX07_37100,14.111569579597134,14.847936818239736
CC00115XX08_37801,14.01188145014666,14.360684829660208
CC00116XX09_38001,14.937491526267928,15.31603982065691
CC00117XX10_38200,14.208328881482512,12.941787065259497
CC00119XX12_39400,15.024144763118544,13.921418262988077
CC00120XX05_41600,14.073484301872801,14.659216753809929
CC00121XX06_41700,14.586057208510562,16.19691098803553
CC00122XX07_42000,15.51939133489541,14.086746057837187
CC00124XX09_42302,14.42008267650782,14.332446889503156
CC00126XX11_43100,14.404716472448689,13.147163666498333
CC00127XX12_43200,14.343218588259116,13.730482252291768
CC00129AN14_43500,13.621311821769575,14.385521737597706
CC00129BN14_43701,14.252255172509889,14.28114057873998
CC00130XX07_44001,14.580752529068068,14.137174068001189
CC00131XX08_44200,15.608053207725254,13.725133968468292
CC00132XX09_44400,14.408930048517657,13.730700999708827
CC00133XX10_44500,15.07813492557059,14.158512037681236
CC00134XX11_44600,15.612761752339114,14.052894023641604
CC00135AN12_44900,14.184203765359655,15.079021623132554
CC00135AN12_54400,15.10642607537744,15.322171110188169
CC00135BN12_44704,15.752022935466679,13.891058036617606
CC00135BN12_54500,14.488655457483437,14.852600521156408
CC00136AN13_45100,15.903600160033387,13.988821642950976
CC00136AN13_64201,15.206791358512593,15.112528676832222
CC00136BN13_45000,15.774970091475593,15.111907980494511
CC00138XX15_46200,14.002005353038284,14.17059306470019
CC00139XX16_49101,15.10693694755528,13.773845316955393
CC00143AN12_47501,13.347691786731456,13.035214202922464
CC00143BN12_47600,15.181213521125557,13.308836647567073
CC00144XX13_47701,13.994723627995445,13.8738760534077
CC00145XX14_48100,14.807223853632935,14.208889569420581
CC00146XX15_48400,15.400779951241606,13.791810830624355
CC00147XX16_48500,14.325990035772687,13.665959836244774
CC00149XX18_49000,15.501038213142241,14.075302020888348
CC00150AN02_54800,16.15757517244786,16.22278890590869
CC00150BN02_49100,16.460277677775874,13.87348525123839
CC00152AN04_49200,15.198631444266454,13.204621687843265
CC00152AN04_65700,15.246612757229906,15.36527006384879
CC00153XX05_50300,15.698348879104273,14.48288381304717
CC00154XX06_50700,15.665630959613686,13.55145493837865
CC00155XX07_51300,14.765310164897047,14.386582682114966
CC00157XX09_51900,14.847267735812393,14.58546861537515
CC00158XX10_52200,14.5803605781624,14.297521489166826
CC00159XX11_52600,14.021876493564061,13.105738808719172
CC00160XX04_52700,14.977536407981134,14.614843318036279
CC00161XX05_53100,14.04159821577946,14.364339807279723
CC00162XX06_53600,15.852800103315392,13.992031994757918
CC00163XX07_53701,13.73259402908398,12.97632807161502
CC00164XX08_54000,14.855686717902667,15.288561801447967
CC00165XX09_54600,15.183925983902922,14.68214341179422
CC00168XX12_55700,14.491573760988665,13.843972622680395
CC00170XX06_56100,14.359745483173205,13.421159596037848
CC00171XX07_56300,15.286911084648596,15.59117008066934
CC00172AN08_56901,14.201097004832357,14.69425655069763
CC00172BN08_57300,14.18059890535105,12.707336898946131
CC00174XX10_57200,14.333637571648369,14.312842725240204
CC00176XX12_57600,16.03875363532136,14.951613576748226
CC00177XX13_58500,14.022204533006779,14.40729509465641
CC00178XX14_58600,15.265168071061032,14.51223258898228
CC00179XX15_58800,14.010099519559796,13.167111528479579
CC00180XX08_59500,14.684903091882045,13.263623227973667
CC00181XX09_60000,15.516074200252584,14.887948939680376
CC00182XX10_60200,14.50018738484063,13.38578954975202
CC00183XX11_60300,13.977969075666106,13.738856670736517
CC00184XX12_60501,14.8738720324322,14.95803853206189
CC00185XX13_60800,13.171368020193896,13.930241043690438
CC00186AN14_60900,15.455491056155429,14.454292837385566
CC00186BN14_61000,14.874858694404795,13.829105452952856
CC00189XX17_62301,13.924258784392695,13.326781969818459
CC00191XX11_65200,13.703658289375154,13.243889910785697
CC00192AN12_64301,14.486978138669539,14.36716940143035
CC00193XX13_64400,14.77893350667905,13.454277694127335
CC00194XX14_65401,14.8884485423149,14.558031867711513
CC00195XX15_65800,13.114471138657551,12.355041969469715
CC00197XX17_66500,14.57187326602902,12.757727087700342
CC00198XX18_66600,13.649713900731308,13.452647759515552
CC00199XX19_66700,14.540029303592577,13.077030293898387
CC00200XX02_67204,14.57353486098544,14.892277919791374
CC00201XX03_67600,14.45407313098693,13.092896853968389
CC00202XX04_67800,16.47099858554659,14.695138982467519
CC00203XX05_69500,15.816102062727163,13.683183377157153
CC00204XX06_69900,16.26286823831316,13.175143120682796
CC00205XX07_70000,15.492574887293186,14.732980336508406
CC00206XX08_70100,15.185505193533116,14.985008577445146
CC00207XX09_88700,13.885559630042405,15.70968290605039
CC00209XX11_70400,14.36366850736765,13.515042878115375
CC00216AN10_73100,14.027955454878205,13.82672119927152
CC00216BN10_73200,14.40243442462437,14.09350236493738
CC00217XX11_73700,14.929684787728334,14.383368206924022
CC00218AN12_74801,15.512455740022904,14.857955504110999
CC00218AN12_85900,15.587366170353015,15.230396630040762
CC00218BN12_74800,15.436484780598395,13.87423153039642
CC00219XX13_86600,15.053957702237824,13.651523802235902
CC00221XX07_75000,13.93698116654303,13.239503236156107
CC00223XX09_75900,13.648106402580652,13.95560475631137
CC00227XX13_76601,17.180904860209484,16.948048008535427
CC00227XX13_92100,15.011625860822999,14.053098146512383
CC00231XX09_77701,13.778606532563751,13.95076477687614
CC00236XX14_78700,14.521406445233564,13.257605621705329
CC00237XX15_79300,14.484729284251943,13.448560908047005
CC00238AN16_80300,14.541911498324229,13.03552383773888
CC00238BN16_80400,15.839947713094318,13.629728580880027
CC00244XX14_81200,14.32479467585125,14.271734727151157
CC00245AN15_82304,13.383021931630546,12.50573851390062
CC00245AN15_94300,14.60558762173459,14.205204509567368
CC00245BN15_82600,15.6019464749705,15.147979365607595
CC00245BN15_94400,15.258369634615573,13.448287590196957
CC00247XX17_82801,14.201623999864971,13.7451211678953
CC00248XX18_83000,14.019116084516302,14.494147186404026
CC00248XX18_92700,15.769206802651013,14.00492109097863
CC00250XX03_83700,13.41787860923768,12.91249879549358
CC00251XX04_83800,14.21867871568009,12.808753961521367
CC00252XX05_84000,15.23908547989363,13.767251521118485
CC00254XX07_84300,15.316291302914763,14.354383147047468
CC00255XX08_84400,14.602187791720931,13.17445832597145
CC00257XX10_84700,14.734977730425763,15.236923378615868
CC00258XX11_84900,14.767573097219966,13.956267587874096
CC00259XX12_85100,14.147281683360934,15.040455569116054
CC00260XX05_85300,15.289364771180598,14.488735107846606
CC00265XX10_86901,14.55502150125826,13.701765728688526
CC00267XX12_87700,14.846206607913896,13.653603411436205
CC00268XX13_87800,14.150813347744847,15.166224615193402
CC00269XX14_88300,14.966959320387762,15.525165449674912
CC00270XX07_88600,15.736532990935448,14.630457838078451
CC00271XX08_100400,15.750979806297886,15.371377738401499
CC00271XX08_88900,14.908596659657338,14.334092766328284
CC00272XX09_117900,15.355514593374412,13.328382875923358
CC00281AN10_90400,14.702120523381724,13.969543492839938
CC00281BN10_90500,13.544889638823024,13.768477668339074
CC00284AN13_111400,13.750192835569008,15.992568315372386
CC00284AN13_90701,15.886540904113403,14.246168139903993
CC00284BN13_111500,15.149060821090536,15.452083139527618
CC00284BN13_90801,13.708987210611864,14.941637999309224
CC00286XX15_91700,14.885805466481337,15.605896695793863
CC00287BN16_93900,14.809887668718455,14.220554866554183
CC00289XX18_119700,15.37533162434982,14.702250224702667
CC00290XX11_92900,16.19949445071108,14.962803336772579
CC00291XX12_93100,15.546811791722694,15.422145182232418
CC00292XX13_93800,13.910080301952329,15.057438560741264
